Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019/03/01,139.68510635220636,140.32061410187058,138.4074007835907,138.8020782470703,2098262,0.0,0.0
2019/03/04,139.80552069074406,140.46778874266138,137.63140679600508,138.38064575195312,2379920,0.0,0.0
2019/03/05,137.5243378667471,138.64149369783783,136.3603515625,136.3603515625,3282422,0.0,0.0
2019/03/06,136.9557586077186,136.99589902496433,135.63791257339867,135.6646728515625,2183059,0.0,0.0
2019/03/07,135.50412147249133,135.50412147249133,132.78814860780827,133.69793701171875,3994162,0.0,0.0
2019/03/08,132.70787757167955,134.5742726235612,132.4536671454962,134.386962890625,2062502,0.0,0.0
2019/03/11,135.04920896439563,138.58130862231272,134.90203967133496,138.54116821289062,2852819,0.0,0.0
2019/03/12,139.03623115938817,139.4041605874702,137.39059604602298,137.6715545654297,2529660,0.0,0.0
2019/03/13,138.36054512090865,138.67495390388373,137.55779799329642,138.246826171875,2435893,0.0,0.0
2019/03/14,138.2735848600289,138.77530337935445,137.62469704001305,138.72848510742188,2144906,0.0,0.0
2019/03/15,139.4107862382585,139.5847157670828,138.33375873127906,139.19671630859375,5256061,0.0,0.0
2019/03/18,139.4375579610707,139.54459904814442,137.54441523129253,139.47100830078125,2204946,0.0,0.0
2019/03/19,139.87906680389037,140.84236326133183,139.35058810333294,139.82554626464844,2812514,0.0,0.0
2019/03/20,139.8121860071644,140.822313080054,138.66826977530118,139.3439178466797,2074582,0.0,0.0
2019/03/21,138.34045552805856,140.58815937850687,137.78521658054078,140.22023010253906,2736568,0.0,0.0
2019/03/22,139.33721652422147,139.47100567238914,136.7817937407923,136.90890502929688,3248456,0.0,0.0
2019/03/25,136.1061432928543,137.45074923463537,135.29670614233763,135.93890380859375,2416638,0.0,0.0
2019/03/26,137.1363611436021,138.9024172002062,136.9825017715391,138.63482666015625,2267138,0.0,0.0
2019/03/27,138.74187879924634,139.10310591360187,137.22334295574566,138.58132934570312,2396784,0.0,0.0
2019/03/28,139.1432230229093,139.63825143909784,138.23344700793476,139.49777221679688,1998038,0.0,0.0
2019/03/29,140.00617496850913,140.14665418498979,137.93909050387862,138.9960479736328,3418527,0.0,0.0
2019/04/01,140.40756130623356,142.0799562642369,139.98611142857686,141.77891540527344,3095726,0.0,0.0
2019/04/02,141.97959965685587,142.2873183637193,141.15009227864243,141.90602111816406,1690546,0.0,0.0
2019/04/03,142.4545604651351,143.11013829825322,142.11339141254072,142.57498168945312,1877720,0.0,0.0
2019/04/04,142.82251621243492,144.00657301354317,142.03983915033663,143.8460235595703,1866836,0.0,0.0
2019/04/05,144.414613242065,144.8226707585943,143.69213474309106,144.10020446777344,1663756,0.0,0.0
2019/04/08,143.63191455114332,143.87274477078773,142.8024072294939,143.83929443359375,1351480,0.0,0.0
2019/04/09,143.4379320697944,143.53828309345604,141.69864861601746,141.79229736328125,1813734,0.0,0.0
2019/04/10,142.10003433517485,142.2940219061931,140.96279593425376,141.8926544189453,1612926,0.0,0.0
2019/04/11,141.62505289384004,142.9629688304666,141.44443326574319,142.84255981445312,1412715,0.0,0.0
2019/04/12,143.8928653697023,145.4916699660124,143.39114676052898,145.44483947753906,2299190,0.0,0.0
2019/04/15,145.05684324266105,145.40470243387512,143.75906744906166,144.38119506835938,1774027,0.0,0.0
2019/04/16,144.8895866358204,145.61205300242526,144.14703785530068,145.09695434570312,1853322,0.0,0.0
2019/04/17,145.58532042874813,146.72254675244557,145.28427951846015,145.59201049804688,2365210,0.0,0.0
2019/04/18,145.81940882263038,146.94994476989245,145.57859080961066,146.42147827148438,2129000,0.0,0.0
